>>> {"jsonrpc":"2.0","id":1,"method":"initialize","params":{"protocolVersion":1,"clientCapabilities":{"fs":{"readTextFile":true,"writeTextFile":true},"terminal":false},"clientInfo":{"name":"acp-capture","version":"1"}}}
<<< {"jsonrpc":"2.0","id":1,"result":{"agentCapabilities":{"loadSession":true,"promptCapabilities":{"image":true},"sessionCapabilities":{"fork":{},"list":{},"resume":{}}},"agentInfo":{"name":"hermes-agent","version":"0.19.0"},"authMethods":[{"description":"Authenticate Hermes using the currently configured lmstudio runtime credentials.","id":"lmstudio","name":"lmstudio runtime credentials"},{"args":["--setup"],"description":"Open Hermes' interactive model/provider setup in a terminal. Use this when Hermes has not been configured on this machine yet.","id":"hermes-setup","name":"Configure Hermes provider","type":"terminal"}],"protocolVersion":1}}
>>> {"jsonrpc":"2.0","id":2,"method":"session/new","params":{"cwd":"/home/victor/c7test/workdir","mcpServers":[]}}
<<< {"jsonrpc":"2.0","id":2,"result":{"_meta":{"hermes":{"sessionProvenance":{"acpSessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","currentHermesSessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","rootHermesSessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","parentHermesSessionId":null,"sessionKind":"root","compressionDepth":0}}},"models":{"availableModels":[{"description":"Provider: LM Studio \u2022 current","modelId":"lmstudio:qwen/qwen3.5-9b","name":"LM Studio \u00b7 qwen/qwen3.5-9b"}],"currentModelId":"lmstudio:qwen/qwen3.5-9b"},"modes":{"availableModes":[{"description":"Ask before edits.","id":"default","name":"Default"},{"description":"Auto-allow workspace and /tmp edits; still asks for sensitive paths.","id":"accept_edits","name":"Accept Edits"},{"description":"Auto-allow file edits for this session except sensitive paths.","id":"dont_ask","name":"Don't Ask"}],"currentModeId":"default"},"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570"}}
>>> {"jsonrpc":"2.0","id":3,"method":"session/prompt","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","prompt":[{"type":"text","text":"Use your terminal tool to run exactly: ls -1 | wc -l"}]}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" terminal","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" to","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" count","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" the","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" number","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" of","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" files","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" in","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" the","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" current","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" directory","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":".","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"\n","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":[{"content":{"text":"$ ls -1 | wc -l","type":"text"},"type":"content"}],"kind":"execute","locations":[],"title":"terminal: ls -1 | wc -l","toolCallId":"tc-6387a9b13966","sessionUpdate":"tool_call"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":[{"content":{"text":"terminal result\n- **output:** 2\n- **exit_code:** 0","type":"text"},"type":"content"}],"kind":"execute","status":"completed","toolCallId":"tc-6387a9b13966","sessionUpdate":"tool_call_update"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"The","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" command","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" returned","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" ","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"2","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":",","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" meaning","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" there","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" are","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" ","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"2","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" items","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" in","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" the","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" current","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" directory","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":".","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"The","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" user","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" asked","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" me","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" to","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" run","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" `","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"ls","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" -","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"1","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" |","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" wc","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" -","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"l","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"`","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" in","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" the","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" terminal","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":",","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" and","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" I","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" did","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" execute","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" it","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":".","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" The","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" output","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" shows","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" \"","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"2","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"\",","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" which","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" means","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" there","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" are","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" ","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"2","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" files","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" or","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" directories","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" in","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" the","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" current","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" working","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" directory","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":".","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" I","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" should","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" just","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" provide","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" this","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" result","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" directly","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" without","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" any","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" empty","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" placeholder","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" response","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":".","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"\n","type":"text"},"sessionUpdate":"agent_thought_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":"\n\nThe","type":"text"},"sessionUpdate":"agent_message_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" command","type":"text"},"sessionUpdate":"agent_message_chunk"}}}
<<< {"jsonrpc":"2.0","method":"session/update","params":{"sessionId":"1ed63c3e-5170-4d20-bb9f-ea3289eb3570","update":{"content":{"text":" returned","type":"text"},"sessionUpdate":"agent_message_chunk"}}}
